timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature,humidity,current,motorVoltage,label
5413,-0.0085,-0.9932,0.053,-0.7557,6.2366,0.7786,38.9,20.0,1.1003,0.4387,0
5649,-0.0068,-0.9983,0.0579,-0.5191,5.9924,0.4962,38.9,20.0,1.1036,0.451,0
5860,-0.0085,-0.9932,0.0498,-0.5802,6.0153,0.6031,38.9,20.0,1.094,0.4518,0
6072,-0.0085,-0.998,0.0554,-0.8931,5.8397,0.5115,38.9,20.0,1.1033,0.5014,0
6283,-0.0054,-0.9966,0.0623,-0.8244,5.8244,0.6489,38.9,20.0,1.105,0.4997,0
6495,-0.01,-1.001,0.05,-0.6107,5.916,0.687,38.9,20.0,1.1147,0.5036,0
6706,-0.0078,-0.9998,0.0583,-0.5725,6.0,0.626,38.9,20.0,1.105,0.5023,0
6918,-0.009,-1.0015,0.0562,-0.9084,6.3282,0.6489,38.9,20.0,1.1068,0.5009,0
7129,-0.0088,-0.9944,0.0547,-0.5954,5.9924,0.5573,38.9,20.0,1.1077,0.5046,0
7341,-0.0105,-1.0005,0.0549,-0.5496,5.6641,0.3206,38.9,20.0,1.1098,0.5032,0
7553,-0.0024,-1.0012,0.0608,-0.5802,6.0305,0.7863,38.8,22.3,1.103,6.0242,0
7789,-0.0234,-1.0017,0.0518,-0.5573,6.0382,0.4427,38.8,22.3,1.1124,5.9975,0
8000,-0.009,-0.991,0.0547,-0.7328,5.9237,0.5878,38.8,22.3,1.0996,6.0098,0
8212,-0.0046,-0.9971,0.0557,-0.4504,5.7786,0.5115,38.8,22.3,1.1022,6.0627,0
8423,-0.0007,-0.9988,0.0542,-0.2443,5.9847,0.6107,38.8,22.3,1.1126,6.0787,0
8635,-0.0076,-0.9998,0.0591,-0.5954,5.9313,0.5038,38.8,22.3,1.1071,6.0631,0
8846,-0.0002,-0.9917,0.0574,-0.4656,5.5191,0.8321,38.8,22.3,1.1137,6.0162,0
9057,-0.0205,-1.0088,0.0334,0.0305,6.8702,0.084,38.8,22.3,1.0985,6.0055,0
9286,-0.0083,-0.9954,0.0566,-0.8092,5.6031,0.4198,38.8,22.3,1.1035,6.0402,0
9498,-0.0105,-0.9988,0.0537,-0.6718,6.0611,0.3435,38.8,22.3,1.1011,6.0234,0
9709,-0.0083,-1.0034,0.0537,-0.4656,6.0305,0.5725,38.7,21.4,1.0962,5.9793,0
9945,-0.0337,-1.0193,0.0425,-0.1679,5.5496,0.8092,38.7,21.4,1.0966,5.9604,0
10156,-0.022,-1.0017,0.0403,-0.6641,7.2748,0.1221,38.7,21.4,1.0953,5.9803,0
10370,-0.0068,-0.9917,0.0586,-0.542,5.916,0.2977,38.7,21.4,1.106,6.044,0
10581,-0.0085,-0.9944,0.0564,-0.771,5.8473,0.4656,38.7,21.4,1.1048,6.031,0
10793,-0.011,-1.0049,0.0601,-0.4275,5.8092,0.4504,38.7,21.4,1.1026,6.053,0
11005,-0.0059,-0.9961,0.0513,-0.5191,5.9924,0.3435,38.7,21.4,1.0975,6.0246,0
11216,-0.0083,-1.002,0.0557,-0.1069,5.9237,0.3893,38.7,21.4,1.0965,6.0471,0
11428,-0.0122,-0.9995,0.0525,-0.5115,6.0153,0.687,38.7,21.4,1.106,6.0157,0
11639,-0.0078,-1.0046,0.0586,-0.5954,5.687,0.4427,38.7,21.4,1.1025,6.0322,0
11850,-0.0051,-1.0007,0.0493,-0.4809,6.0687,0.2824,38.6,21.4,1.0952,6.004,0
12086,-0.0103,-0.9968,0.05,-0.5115,5.9924,0.5038,38.6,21.4,1.1008,5.9727,0
12297,-0.0029,-0.9988,0.0615,-0.542,5.8779,0.7099,38.6,21.4,1.0893,6.0028,0
12509,-0.0056,-0.9932,0.0598,-0.6565,5.8015,0.3282,38.6,21.4,1.1046,6.0175,0
12720,-0.0066,-0.9998,0.0566,-0.4809,5.6794,0.7099,38.6,21.4,1.0988,6.0465,0
12932,-0.0088,-0.9946,0.0503,-0.8168,5.8092,0.3664,38.6,21.4,1.1136,6.022,0
13143,-0.0137,-0.9983,0.0518,-0.5115,6.0916,0.6947,38.6,21.4,1.107,6.05,0
13355,-0.0061,-0.9971,0.0601,-0.6412,6.0916,0.4427,38.6,21.4,1.0971,6.0174,0
13566,-0.0083,-1.0022,0.0618,-0.3053,6.2214,0.8092,38.6,21.4,1.094,6.0512,0
13778,-0.0054,-1.0015,0.0544,-0.7099,5.7557,0.4656,38.6,21.4,1.1038,6.0271,0
13989,-0.0107,-1.0032,0.0552,-0.7481,5.9771,0.542,38.6,21.4,1.1008,6.0113,0
14225,-0.0042,-0.9976,0.0557,-0.4885,6.0916,0.5878,38.6,21.4,1.0955,5.9856,0
14436,-0.0063,-0.9968,0.0564,-0.4809,5.9466,0.3588,38.6,21.4,1.096,5.9986,0
14648,-0.0083,-0.9978,0.053,-0.5954,6.0992,0.6947,38.6,21.4,1.1093,6.0287,0
14859,-0.0054,-1.0005,0.0554,-0.5954,6.0458,0.7099,38.6,21.4,1.1087,6.0542,0
15071,-0.0049,-0.9995,0.0503,-0.626,5.7328,0.4122,38.6,21.4,1.1069,6.0251,0
15282,-0.0024,-0.9958,0.0598,-0.687,6.0687,0.6031,38.6,21.4,1.1063,6.0388,0
15494,-0.0044,-0.9983,0.061,-0.7328,5.916,0.5267,38.6,21.4,1.1028,6.0265,0
15705,-0.0044,-0.9978,0.0603,-0.8702,5.6794,0.5954,38.6,21.4,1.0973,6.0399,0
15917,-0.0098,-0.9968,0.0559,-0.5344,5.8244,0.5802,38.6,21.4,1.111,6.032,0
16128,-0.0098,-0.999,0.0552,-0.4733,5.9618,0.542,38.6,21.4,1.0999,5.9972,0
16364,-0.0042,-0.9939,0.0537,-0.6565,5.8931,0.4122,38.6,21.4,1.0982,5.9924,0
16575,-0.011,-0.9985,0.0574,-0.5802,5.8931,0.5496,38.6,21.4,1.1008,6.0258,0
16787,-0.0046,-0.9946,0.0508,-0.3893,5.7252,0.5878,38.6,21.4,1.1139,5.98,0
16998,-0.0056,-0.9985,0.0515,-0.6641,6.0153,0.7405,38.6,21.4,1.1071,6.0521,0
17209,-0.0059,-0.9998,0.0588,-0.4885,5.8321,0.5191,38.6,21.4,1.1108,6.052,0
17421,-0.0107,-1.0,0.0535,-0.7557,5.6412,0.6412,38.6,21.4,1.1068,6.0392,0
17632,-0.0107,-1.0002,0.0552,-0.7176,6.0611,0.4733,38.6,21.4,1.1081,6.0531,0
17844,-0.0063,-0.9978,0.0532,-0.5191,6.0534,0.5802,38.6,21.4,1.114,6.0393,0
