timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature,humidity,current,motorVoltage,label
5413,-0.0095,-0.9973,0.0542,-0.3893,5.3817,0.6183,44.0,27.4,1.0782,0.2765,0
5649,-0.0083,-0.9978,0.0564,-0.9313,5.4198,0.5573,44.0,27.4,1.0808,0.2834,0
5861,-0.011,-0.9995,0.05,-0.6641,5.1603,0.6794,44.0,27.4,1.0845,0.2836,0
6072,-0.0105,-0.9951,0.0569,-0.229,5.5725,0.7252,44.0,27.4,1.0831,0.2899,0
6284,-0.009,-0.9971,0.0549,-0.7863,5.6412,0.4504,44.0,27.4,1.0863,0.2846,0
6496,-0.0022,-0.9978,0.052,-0.5573,5.3588,0.5267,44.0,27.4,1.0832,0.2875,0
6707,-0.0046,-0.9951,0.0601,-1.0153,5.5038,0.5802,44.0,27.4,1.0785,0.286,0
6919,-0.0115,-0.9937,0.0544,-0.6489,5.687,0.687,44.0,27.4,1.0788,0.2877,0
7130,-0.0122,-0.999,0.0532,-0.6183,5.7252,0.7481,44.0,27.4,1.072,0.2911,0
7342,-0.0054,-0.9993,0.053,-0.6565,5.542,0.7328,44.0,27.4,1.0737,0.2857,0
7554,-0.0098,-1.0005,0.0564,-0.7023,5.4427,0.6031,43.9,27.4,1.0719,2.9264,0
7790,-0.0093,-0.9973,0.0508,-0.8168,5.5878,0.8702,43.9,27.4,1.0672,2.9155,0
8001,-0.0112,-0.9922,0.0542,-0.5954,5.7557,0.7863,43.9,27.4,1.0653,2.9124,0
8213,-0.0063,-0.998,0.0564,-0.5267,5.3435,0.8168,43.9,27.4,1.0646,2.9303,0
8424,-0.012,-0.9968,0.0527,-0.8168,5.5191,0.5191,43.9,27.4,1.0637,2.9181,0
8636,-0.0083,-1.0007,0.054,-0.7405,5.4351,0.3588,43.9,27.4,1.0664,2.9208,0
8848,-0.0093,-0.9963,0.0542,-0.5954,5.458,0.5649,43.9,27.4,1.0635,2.9267,0
9059,-0.0076,-0.9973,0.0571,-0.3664,5.4198,0.4656,43.9,27.4,1.0645,2.9179,0
9271,-0.0105,-0.9985,0.0564,-0.6107,5.7176,0.6412,43.9,27.4,1.0757,2.9254,0
9483,-0.0112,-0.9932,0.0527,-0.626,5.6565,0.7557,43.9,27.4,1.0643,2.9272,0
9694,-0.0066,-0.9973,0.0549,-0.5649,5.7786,0.5802,43.9,27.4,1.0677,2.9187,0
9930,-0.0142,-0.9998,0.054,-0.7099,5.4885,0.6336,43.9,27.4,1.0663,2.9354,0
10141,-0.0132,-0.9937,0.0549,-0.771,5.542,0.8473,43.9,27.4,1.0661,2.9187,0
10353,-0.0073,-0.9956,0.0493,-0.8702,5.8015,0.7252,43.9,27.4,1.0638,2.9227,0
10565,-0.0078,-0.9978,0.0579,-0.6565,5.626,0.5191,43.9,27.4,1.0641,2.9308,0
10777,-0.0107,-0.9971,0.0542,-0.7252,5.8168,0.7099,43.9,27.4,1.0676,2.9218,0
10988,-0.0081,-0.9973,0.0566,-0.5878,5.7099,0.5496,43.9,27.4,1.0724,2.9246,0
11200,-0.0088,-1.0017,0.0574,-0.687,5.6412,0.8015,43.9,27.4,1.0711,2.9387,0
11411,-0.0085,-0.9961,0.0522,-0.8321,5.313,0.7176,43.9,27.4,1.0628,2.9221,0
11623,-0.0085,-0.9973,0.0532,-0.6947,5.5802,0.7252,43.9,27.4,1.0638,2.9342,0
11835,-0.0078,-0.9988,0.0557,-0.5267,5.2977,0.6412,43.8,27.4,1.0639,2.9348,0
12071,-0.009,-1.0,0.0596,-0.626,5.3817,0.6489,43.8,27.4,1.0696,2.9177,0
12282,-0.0127,-0.9949,0.0574,-0.7328,5.5344,0.8473,43.8,27.4,1.0676,2.9122,0
12494,-0.0098,-1.0017,0.0547,-0.1374,5.6489,0.6031,43.8,27.4,1.0635,2.9232,0
12705,-0.011,-0.9958,0.0586,-0.6412,5.3282,0.7786,43.8,27.4,1.0624,2.8994,0
12917,-0.0078,-0.9973,0.0562,-0.4198,5.5649,0.8397,43.8,27.4,1.0632,2.9225,0
13128,-0.0095,-0.9741,0.042,-0.1527,5.5878,0.458,43.8,27.4,1.056,2.9185,0
13340,-0.0166,-0.981,0.0398,-0.542,5.4962,0.542,43.8,27.4,1.0675,2.9158,0
13552,0.0085,-1.0469,0.0959,-2.3893,4.8473,0.8931,43.8,27.4,1.1079,6.1123,0
13763,-0.0046,-1.0027,0.0569,-0.3588,5.3206,0.6947,43.8,27.4,1.1227,6.1045,0
13975,-0.0095,-0.9995,0.0554,-0.4351,5.3435,0.5115,43.8,27.4,1.1323,6.1316,0
14211,-0.0061,-0.998,0.0613,-0.5115,5.687,0.3893,43.8,27.4,1.1287,6.1196,0
14422,-0.0095,-0.9966,0.054,-0.6947,5.5267,0.4122,43.8,27.4,1.1254,6.1,0
14634,-0.0127,-0.9961,0.0571,-0.7176,5.6718,0.4046,43.8,27.4,1.1261,6.136,0
14846,-0.01,-0.9983,0.0525,-0.4198,5.4504,0.5954,43.8,27.4,1.1316,6.1028,0
15057,-0.0095,-0.9941,0.0554,-0.6947,5.4427,0.6565,43.8,27.4,1.1264,6.1076,0
15269,-0.0085,-0.9966,0.0583,-0.916,5.458,0.9313,43.8,27.4,1.1316,6.109,0
15480,-0.0093,-1.0007,0.0542,-0.5878,5.8092,0.6718,43.8,27.4,1.1125,6.0988,0
15692,-0.0112,-0.9937,0.0598,-0.2672,5.313,0.2748,43.8,27.4,1.1265,6.1204,0
15903,-0.0093,-0.9993,0.0593,-0.6412,5.5725,0.4198,43.8,27.4,1.1259,6.1028,0
16115,-0.0095,-0.9951,0.0554,-0.5725,5.5496,0.542,43.8,27.4,1.1259,6.1355,0
16351,-0.0063,-0.9976,0.0562,-0.6336,5.6031,0.6794,43.8,27.4,1.123,6.105,0
16562,-0.0103,-0.9973,0.0513,-0.6794,5.3893,0.8626,43.8,27.4,1.1313,6.1053,0
16774,-0.0083,-0.9985,0.0527,-0.6489,5.626,0.4275,43.8,27.4,1.1268,6.1349,0
16986,-0.0078,-1.0015,0.0503,-0.7634,5.4962,0.6183,43.8,27.4,1.1204,6.1048,0
17197,-0.01,-0.9946,0.0601,-0.5267,5.5954,0.8321,43.8,27.4,1.1198,6.1215,0
17409,-0.0076,-0.9973,0.0547,-0.2672,5.5725,0.6031,43.8,27.4,1.1206,6.1033,0
17620,-0.0159,-0.9961,0.0537,-0.7252,5.6412,0.6718,43.8,27.4,1.1272,6.104,0
17832,-0.0098,-0.9976,0.0601,-0.6336,5.5649,0.5725,43.8,27.4,1.126,6.1356,0
18043,-0.0144,-0.9946,0.0554,-0.3588,5.4809,0.3588,43.8,27.4,1.1318,6.1042,0
18255,-0.0122,-1.0007,0.0576,-0.5191,5.8321,0.7786,43.7,27.4,1.127,6.1041,0
18491,-0.0122,-0.9954,0.052,-0.6031,5.8779,0.5344,43.7,27.4,1.1338,6.1223,0
18702,-0.0098,-0.9988,0.0583,-0.6947,5.6412,0.6031,43.7,27.4,1.1298,6.1088,0
18914,-0.0095,-0.9971,0.0576,-1.3053,5.2595,0.7328,43.7,27.4,1.1289,6.1178,0
19126,-0.0073,-1.0015,0.0549,-0.7099,5.8015,0.5878,43.7,27.4,1.1253,6.1174,0
19337,-0.0066,-0.9985,0.0579,-0.8702,5.8092,0.687,43.7,27.4,1.1218,6.0779,0
19549,-0.0029,-0.9951,0.0483,-0.5649,5.7557,0.8092,43.7,27.4,1.1231,6.1127,0
