timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature,humidity,current,motorVoltage,label
5413,-0.0117,-1.0054,0.0586,-0.542,6.0153,0.3511,38.4,25.8,1.0888,0.3967,0
5649,-0.0127,-0.999,0.0527,-0.7252,5.9084,0.2672,38.4,25.8,1.089,0.4098,0
5861,-0.0149,-1.0002,0.0508,-0.7405,6.0382,0.4504,38.4,25.8,1.0834,0.4626,0
6072,-0.0066,-0.9917,0.0527,-0.6565,5.6489,0.5725,38.4,25.8,1.1068,0.4666,0
6284,-0.0078,-0.9973,0.0598,-0.6794,6.1756,0.4656,38.4,25.8,1.1036,0.4662,0
6495,-0.0059,-0.9971,0.0562,-0.6107,5.6183,0.7328,38.4,25.8,1.1012,0.4644,0
6707,-0.0054,-0.9954,0.0613,-0.2977,5.8244,0.9084,38.4,25.8,1.0963,0.4622,0
6919,-0.0129,-1.0007,0.0564,-0.7252,6.0229,0.4198,38.4,25.8,1.1053,0.4665,0
7130,-0.0095,-1.0027,0.0547,-0.4885,5.8702,0.4885,38.4,25.8,1.1033,0.4636,0
7341,-0.0051,-0.9949,0.0579,-0.5725,6.0534,0.2061,38.4,25.8,1.103,0.4685,0
7553,-0.0088,-1.0002,0.0559,-0.687,5.8931,0.4427,38.4,28.7,1.0989,5.9635,0
7789,-0.0076,-0.9973,0.0593,-0.7099,5.9771,0.4122,38.4,28.7,1.0978,5.9634,0
8000,-0.009,-0.9995,0.0564,-0.2443,5.7557,0.3282,38.4,28.7,1.0953,6.0112,0
8212,-0.0044,-0.9827,0.0691,-2.2977,6.2901,0.5344,38.4,28.7,1.1169,6.0126,0
8423,-0.0171,-1.0078,0.0471,-0.4656,7.1756,0.313,38.4,28.7,1.1087,6.0216,0
8652,-0.0059,-0.9976,0.0593,-0.7099,5.8473,0.3893,38.4,28.7,1.1168,6.0362,0
8864,-0.0417,-0.9834,0.0618,1.3817,4.2214,0.4962,38.4,28.7,1.11,5.9944,0
9075,-0.0117,-0.9482,-0.0042,-0.5878,10.7176,-2.1221,38.4,28.7,1.0896,5.8629,0
9304,-0.0105,-0.9963,0.0588,-0.4885,6.2672,0.6336,38.4,28.7,1.0732,5.932,0
9516,-0.0125,-0.9966,0.0537,-0.7176,5.8473,0.4351,38.4,28.7,1.0884,5.9436,0
9727,-0.0066,-1.0,0.0579,-0.8168,6.2595,0.5496,38.4,28.7,1.0841,5.9096,0
9963,-0.0061,-0.9971,0.0515,-0.8015,6.1221,0.3664,38.4,28.7,1.0892,5.8954,0
10174,-0.0078,-0.9937,0.0557,-0.8626,5.7328,0.5649,38.4,28.7,1.0872,5.9596,0
10386,-0.0061,-0.9998,0.0581,-0.7863,5.9695,0.5649,38.4,28.7,1.0836,5.949,0
10597,-0.0098,-0.9966,0.0515,-0.6718,5.7176,0.5496,38.4,28.7,1.1006,5.9678,0
10809,-0.0105,-0.9995,0.0547,-0.6107,5.8626,0.2366,38.4,28.7,1.0978,5.9498,0
11020,-0.0103,-1.0012,0.053,-0.6031,5.9771,0.3359,38.4,28.7,1.0825,5.9685,0
11232,-0.0103,-1.0037,0.054,-0.4962,5.8473,0.5802,38.4,28.7,1.0928,5.9544,0
11443,-0.0115,-1.0005,0.0583,-0.5267,5.9924,0.4733,38.4,28.7,1.0909,5.9811,0
11655,-0.0076,-0.9937,0.0566,-0.4504,6.1298,0.4656,38.4,28.7,1.0899,5.9597,0
11866,-0.0063,-1.0015,0.0579,-0.9466,5.8779,0.5649,38.3,28.7,1.0845,5.9355,0
12102,-0.011,-0.9976,0.0515,-0.6336,6.0305,0.6107,38.3,28.7,1.0757,5.9041,0
12313,-0.0085,-1.0034,0.0583,-0.7863,5.7939,0.7023,38.3,28.7,1.0819,5.9502,0
12525,-0.0095,-0.9951,0.0557,-0.2672,5.7099,0.5649,38.3,28.7,1.0967,5.9614,0
12736,-0.0054,-0.9998,0.0605,-0.5496,5.7939,0.4122,38.3,28.7,1.0839,5.9743,0
12948,-0.0063,-1.001,0.0574,-0.3359,5.7939,0.458,38.3,28.7,1.0915,5.9613,0
13159,-0.0066,-1.0002,0.0571,-0.7939,6.0687,0.542,38.3,28.7,1.086,5.9583,0
13371,-0.0051,-1.0012,0.0505,-0.6718,5.7786,0.4885,38.3,28.7,1.082,5.9817,0
13582,-0.0125,-0.9978,0.0559,-0.5344,6.084,0.6641,38.3,28.7,1.091,5.9672,0
13794,-0.0066,-0.9941,0.0564,-0.5802,6.1679,0.6794,38.3,28.7,1.0915,5.9943,0
14006,-0.0066,-0.9993,0.0559,-0.8855,6.1298,0.6183,38.4,27.2,1.086,5.9192,0
14242,-0.0076,-0.998,0.054,-0.7023,5.8015,0.3588,38.4,27.2,1.0891,5.916,0
14453,-0.0037,-0.9934,0.0625,-0.8473,6.0458,0.3359,38.4,27.2,1.0806,5.984,0
14665,-0.0068,-0.9954,0.0627,-0.6183,5.9389,0.5267,38.4,27.2,1.0932,5.9422,0
14876,-0.0078,-0.9988,0.0527,-0.6794,5.9084,0.5725,38.4,27.2,1.0921,5.9942,0
15088,-0.0088,-0.9988,0.0591,-0.8779,6.0992,0.3206,38.4,27.2,1.092,5.964,0
15299,-0.0085,-0.9968,0.0559,-0.5573,5.8626,0.542,38.4,27.2,1.0909,5.9954,0
15510,-0.0071,-0.9954,0.0605,-0.6641,6.2595,0.542,38.4,27.2,1.0941,5.9689,0
15722,-0.0122,-0.9985,0.0557,-0.4656,5.8855,0.313,38.4,27.2,1.0933,5.9998,0
15934,-0.0044,-0.9976,0.0564,-0.4885,5.9771,0.3511,38.4,27.2,1.0938,5.9672,0
16145,-0.0081,-1.001,0.0586,-0.3511,6.0382,0.3359,38.4,27.2,1.0834,5.9334,0
16381,-0.0076,-1.0005,0.0537,-0.4733,5.771,0.5115,38.4,27.2,1.0872,5.9301,0
16592,-0.0095,-1.0012,0.0562,-0.4427,5.916,0.5267,38.4,27.2,1.0816,5.9614,0
16804,-0.0059,-0.9968,0.051,-0.8321,6.1298,0.4275,38.4,27.2,1.0972,5.9959,0
17016,-0.009,-0.9985,0.0581,-0.6031,6.1069,0.5115,38.4,27.2,1.0922,5.9691,0
17227,-0.0076,-0.9978,0.0605,-0.6107,5.9847,0.6336,38.4,27.2,1.0892,5.9811,0
17438,-0.0095,-0.9985,0.0588,-0.8015,5.8626,0.5649,38.4,27.2,1.1015,5.9654,0
17650,-0.0129,-0.9968,0.0552,-0.8321,6.0229,0.8397,38.4,27.2,1.0935,5.9839,0
17862,-0.0088,-1.0005,0.0571,-0.5344,5.9237,0.4733,38.4,27.2,1.0916,5.9648,0
18073,-0.0037,-1.001,0.0593,-0.5802,6.0,0.4427,38.4,27.2,1.0879,5.9957,0
18285,-0.0063,-0.9983,0.0554,-0.5878,5.8931,0.5649,38.3,28.7,1.0833,5.9261,0
18521,-0.0107,-1.0002,0.0515,-0.7557,6.0763,0.5267,38.3,28.7,1.0835,5.9137,0
18732,-0.0046,-0.9998,0.053,-0.4656,5.7557,0.6183,38.3,28.7,1.0808,5.9774,0
18944,-0.0085,-0.9951,0.0591,-0.5344,6.3435,0.5344,38.3,28.7,1.1003,5.968,0
19155,-0.0042,-1.0015,0.0566,-0.6336,6.2443,0.5878,38.3,28.7,1.0905,5.9808,0
19367,-0.0071,-0.9983,0.0591,-0.6947,5.916,0.4351,38.3,28.7,1.0918,5.9651,0
19578,-0.0117,-1.0012,0.0544,-0.626,5.9237,0.9084,38.3,28.7,1.0892,5.9781,0
19790,-0.0051,-0.9998,0.0532,-0.5115,5.8702,0.4046,38.3,28.7,1.0904,5.9652,0
20001,-0.011,-1.0005,0.0608,-0.3282,5.4809,0.5191,38.3,28.7,1.087,5.9814,0
20213,-0.0078,-1.0012,0.0498,-0.5954,5.9847,0.5954,38.3,28.7,1.089,5.9688,0
20424,-0.0095,-0.9968,0.0493,-0.6947,5.9389,0.4351,38.3,28.7,1.0834,5.9297,0
20660,-0.0081,-0.9954,0.0579,-0.771,6.1756,0.3969,38.3,28.7,1.0822,5.9152,0
20871,-0.0044,-0.9968,0.0537,-0.4656,6.4427,0.3282,38.3,28.7,1.0834,5.966,0
21083,-0.009,-0.9973,0.0581,-0.6183,6.0992,0.4427,38.3,28.7,1.0998,5.9703,0
21294,-0.0083,-0.9976,0.0549,-0.7176,5.916,0.4198,38.3,28.7,1.097,5.9485,0
21506,-0.0059,-1.0034,0.0608,-0.5725,5.7557,0.5878,38.3,28.7,1.0913,5.9966,0
21718,-0.0134,-0.9983,0.0527,-0.5496,6.2061,0.4275,38.3,28.7,1.0925,5.9667,0
21929,-0.0107,-0.9995,0.0537,-0.5649,5.9924,0.6412,38.3,28.7,1.0951,5.9843,0
22140,-0.0061,-0.9976,0.0525,-0.3893,6.0458,0.6794,38.3,28.7,1.0937,5.9688,0
22352,-0.0066,-0.9998,0.0566,-0.7634,6.0992,0.5115,38.3,28.7,1.0901,5.9996,0
22564,-0.0061,-0.9973,0.0574,-0.7252,5.9313,0.2748,38.3,28.7,1.0823,5.9296,0
22800,-0.0073,-0.9973,0.0608,-0.5878,6.1527,0.3053,38.3,28.7,1.0805,5.9113,0
23011,-0.0051,-1.0,0.0591,-0.5267,5.7099,0.2824,38.3,28.7,1.0833,5.9626,0
23223,-0.0098,-0.9961,0.0569,-0.6412,5.9542,0.4809,38.3,28.7,1.0955,5.9641,0
23434,-0.0078,-0.9963,0.0547,-0.6183,6.0534,0.4198,38.3,28.7,1.0993,5.9751,0
23646,-0.0078,-0.9985,0.0564,-0.5573,5.9695,0.626,38.3,28.7,1.0945,5.9683,0
23857,-0.009,-0.9993,0.0562,-0.626,5.9542,0.4504,38.3,28.7,1.0925,5.9846,0
24069,-0.0105,-1.0027,0.0544,-0.6947,5.9008,0.3664,38.3,28.7,1.0956,5.9658,0
24280,-0.0044,-1.0022,0.0515,-0.6336,5.6718,0.3359,38.3,28.7,1.0886,5.9822,0
24492,-0.0081,-0.9961,0.0525,-0.7023,6.0687,0.458,38.3,28.7,1.0935,5.9693,0
24703,-0.0115,-1.0017,0.0571,-0.855,6.0992,0.7252,38.3,28.7,1.0887,5.9298,0
24939,-0.0056,-0.999,0.0569,-0.5115,5.9847,0.6336,38.3,28.7,1.088,5.931,0
25150,-0.0066,-0.9998,0.0476,-0.4351,6.0305,0.4198,38.3,28.7,1.0876,5.9675,0
25362,-0.0049,-0.9983,0.0579,-0.6489,5.7557,0.5573,38.3,28.7,1.0911,5.983,0
25573,-0.0049,-1.0005,0.0591,-0.6641,6.1832,0.5038,38.3,28.7,1.1006,5.971,0
25785,-0.0076,-0.999,0.0542,-0.626,6.0076,0.6565,38.3,28.7,1.0931,5.9834,0
25997,-0.012,-1.0002,0.0527,-0.8321,6.0763,0.5344,38.3,28.7,1.0992,5.9574,0
26208,-0.0068,-0.9976,0.0525,-0.5878,5.9466,0.5267,38.3,28.7,1.097,5.9667,0
26420,-0.0088,-0.9963,0.0557,-0.7481,5.9618,0.6947,38.3,28.7,1.1,5.9986,0
26632,-0.0076,-0.9985,0.0549,-0.6718,6.1374,0.5878,38.3,28.7,1.0899,5.9669,0
26843,-0.0066,-0.9995,0.0557,-0.6794,6.1527,0.4046,38.3,30.5,1.0869,5.9463,0
27079,-0.0081,-0.9998,0.0601,-0.7176,5.8626,0.4046,38.3,30.5,1.0852,5.9155,0
27290,-0.0066,-0.9976,0.053,-0.6794,5.8015,0.6183,38.3,30.5,1.0891,5.9838,0
27502,-0.0073,-1.0005,0.0625,-0.6794,5.9847,0.3053,38.3,30.5,1.0936,5.9701,0
27713,-0.0105,-0.9973,0.0537,-0.5191,5.8626,0.313,38.3,30.5,1.1032,5.982,0
27925,-0.0068,-1.0022,0.0659,-0.3893,6.1908,0.3435,38.3,30.5,1.0973,5.9697,0
28136,-0.0073,-0.9973,0.0591,-0.5725,5.8244,0.6183,38.3,30.5,1.0977,5.982,0
28348,-0.0085,-1.0007,0.0547,-0.7252,5.8473,0.458,38.3,30.5,1.0943,5.9704,0
28559,-0.0078,-0.998,0.0562,-0.5496,5.7786,0.313,38.3,30.5,1.101,5.9804,0
28771,-0.0093,-0.9958,0.0564,-0.8015,6.145,0.313,38.3,30.5,1.0908,5.9659,0
28982,-0.0049,-0.9946,0.052,-0.4351,5.855,0.687,38.3,30.5,1.0921,5.9293,0
29218,-0.0066,-1.0,0.0532,-0.4733,6.2366,0.6947,38.3,30.5,1.0872,5.8997,0
29429,-0.0112,-0.9941,0.0571,-0.5878,6.084,0.6412,38.3,30.5,1.08,5.9832,0
29641,-0.0066,-0.9971,0.0566,-0.7252,6.1908,0.5878,38.3,30.5,1.0952,5.9707,0
29852,-0.0076,-0.9954,0.0564,-0.5267,6.0763,0.5802,38.3,30.5,1.0966,5.9827,0
