timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature,humidity,current,motorVoltage,label
5413,0.0769,-0.9976,0.0393,-0.4351,6.3511,0.2519,37.0,20.0,1.1506,0.5934,0
5649,0.0776,-0.9968,0.042,-0.6336,5.9008,0.5725,37.0,20.0,1.1517,0.6246,0
5860,0.0779,-0.9946,0.0417,-0.5191,6.1985,0.1069,37.0,20.0,1.1539,0.6242,0
6072,0.075,-0.9988,0.0435,-0.4427,6.2214,0.6565,37.0,20.0,1.1546,0.6244,0
6283,0.074,-0.9939,0.0403,-0.6107,5.9008,0.2366,37.0,20.0,1.1546,0.6288,0
6495,0.084,-0.9998,0.041,-0.6489,6.1756,0.687,37.0,20.0,1.1507,0.628,0
6707,0.0798,-0.9998,0.0415,-0.7557,6.1221,0.3969,37.0,20.0,1.1547,0.6265,0
6918,0.0796,-0.9966,0.0403,-0.5267,6.2901,0.5725,37.0,20.0,1.164,0.6294,0
7130,0.0845,-0.9968,0.0452,-0.5496,5.8855,0.6412,37.0,20.0,1.1561,0.6151,0
7341,0.0803,-0.9973,0.0427,-0.7481,6.3359,0.5802,37.0,20.0,1.1433,0.5439,0
7553,0.0767,-1.0007,0.0366,-0.7328,5.9313,0.3664,37.0,20.0,2.5969,6.635,0
7788,-2.0,-1.0691,-1.8884,-3.6183,-6.0534,0.7863,37.0,20.0,2.5344,6.7489,0
8000,1.9999,-1.4468,-0.8137,2.313,-3.3435,-1.2672,37.0,20.0,2.563,6.7328,0
8211,-2.0,-1.593,-1.7549,1.9466,15.9847,-1.7481,37.0,20.0,2.5285,6.7225,0
8422,-2.0,-2.0,-1.7302,0.1756,-0.1908,6.8779,37.0,20.0,2.5454,6.7469,0
8651,-2.0,0.8137,-2.0,0.4885,-4.5573,1.1298,37.0,20.0,2.6518,6.6671,0
8862,1.9999,-1.3101,-0.5564,0.855,13.6107,6.1069,37.0,20.0,2.6114,6.6953,0
9074,1.9999,-2.0,-0.3779,-5.3588,5.4275,5.4733,37.0,20.0,2.61,6.7007,0
9285,1.3718,-2.0,1.9999,7.3282,3.2901,-3.6565,37.0,20.0,2.592,6.6765,0
9497,-2.0,-2.0,0.2603,-0.2748,14.7328,6.2901,37.0,20.0,2.5551,6.6771,0
9708,-2.0,-1.4954,-1.6763,6.3817,0.4351,-2.8321,37.0,20.0,2.5231,6.6908,0
9943,-2.0,-2.0,-2.0,-3.5649,5.4351,-1.3588,37.0,20.0,2.4868,6.7334,0
10155,1.9999,-0.1177,-0.0391,-9.3282,10.626,3.1603,37.0,20.0,2.4622,6.7239,0
10366,1.9999,1.9836,-0.3496,-10.1756,4.7939,-2.145,37.0,20.0,2.5728,6.6756,0
10578,1.0977,-0.3057,-2.0,-9.145,8.0534,-0.4198,37.0,20.0,2.4789,6.7511,0
10790,0.0598,1.9999,1.9999,-11.2595,8.916,1.4122,37.0,20.0,2.461,6.6844,0
11001,-2.0,0.1917,-2.0,3.0076,3.9618,5.5725,37.0,20.0,2.5247,6.6797,0
11213,1.9999,-0.4888,-1.6731,1.0,4.0992,8.3435,37.0,20.0,2.6055,6.6871,0
11424,-2.0,-0.6575,-2.0,-1.2595,2.4504,-4.0763,37.0,20.0,2.5481,6.7069,0
11635,-0.6309,-0.0286,-2.0,-5.4656,-2.8702,0.7328,37.0,20.0,2.5326,6.7306,0
11847,-0.6797,1.5337,-2.0,-2.1756,6.4198,-4.1527,37.0,20.0,2.4537,6.7086,0
12082,1.9999,1.2886,-2.0,6.1756,3.7634,-7.9313,37.0,20.0,2.4573,6.7619,0
12293,1.9999,-1.1272,-0.1768,-4.8015,13.5115,-6.2061,37.0,20.0,2.4523,6.7065,0
12523,-2.0,-1.2034,0.6746,1.5191,21.2595,5.9466,37.0,20.0,2.3652,6.7355,0
12734,-2.0,-2.0,1.7307,2.9542,-5.8855,2.3893,37.0,20.0,2.4281,6.6881,0
12946,1.9999,0.1968,0.7151,-2.2977,7.3206,-2.9542,37.0,20.0,2.5096,6.7617,0
13157,1.9999,-0.8645,-0.272,3.3817,13.2061,3.9008,37.0,20.0,2.4439,6.7079,0
13379,1.9839,-0.376,1.9999,-1.7939,11.0,-2.2901,37.0,20.0,2.5063,6.6835,0
13590,-1.8938,-2.0,-2.0,0.084,-4.1756,-3.0,37.0,20.0,2.3967,6.6851,0
13802,-0.8511,-2.0,1.9999,0.5038,14.084,0.5954,37.0,20.0,2.418,6.7405,0
14013,-2.0,-1.4263,-1.4685,6.6794,17.2595,2.6489,37.0,20.0,2.319,6.6947,0
14266,-0.5049,-0.6455,-2.0,0.7328,-4.3817,0.2366,37.0,20.0,2.4463,6.7061,0
14478,1.9999,-1.8098,-2.0,-2.1832,11.6107,-0.1527,37.0,20.0,2.3713,6.7326,0
14690,-2.0,-1.4065,-1.4985,-4.2214,4.5115,-1.2137,37.0,20.0,2.3286,6.6879,0
14901,1.9999,-1.2693,-1.2773,-3.7328,-0.145,0.3053,37.0,20.0,2.3953,6.722,0
15113,-2.0,-2.0,-1.7327,3.8779,10.1679,1.4656,37.0,20.0,2.3159,6.7385,0
15324,1.9999,-1.7712,0.8311,5.8244,-1.8321,6.6336,37.0,20.0,2.276,6.7688,0
15536,-2.0,-0.4846,-2.0,0.4046,14.9313,-7.2519,37.0,20.0,2.3808,6.6764,0
15747,-1.8452,-1.0398,1.9067,-0.229,0.5344,-2.3511,37.0,20.0,2.3274,6.7093,0
15959,-2.0,-0.6072,1.9999,8.7634,-0.5725,0.5878,37.0,20.0,2.2576,6.6717,0
16170,-2.0,-1.5308,1.3921,-1.6718,8.5573,-2.0534,37.0,20.0,2.3357,6.7252,0
16405,0.3071,-2.0,-2.0,10.1527,1.6641,2.7634,37.0,20.0,2.2724,6.742,0
16617,-2.0,-1.0278,-1.2856,6.0992,-1.626,1.8626,37.0,20.0,2.3345,6.7146,0
16828,1.9999,-0.5542,0.1494,-9.0153,-2.0305,-3.1985,37.0,20.0,2.3127,6.7546,0
17040,-0.0259,-2.0,1.9999,-7.1985,14.6718,-3.2366,37.0,20.0,2.2465,6.7301,0
17251,-0.0259,-2.0,1.9999,-7.1985,14.6718,-3.2366,37.0,20.0,2.2705,6.7026,0
17461,1.4153,-2.0,-2.0,0.916,4.8779,-7.0534,37.0,20.0,2.2902,6.7114,0
17673,-2.0,0.1443,-1.6226,3.4656,16.6718,-2.5267,37.0,20.0,2.2624,6.7273,0
17885,1.1282,-0.5603,1.9999,0.2214,1.9084,2.4198,37.0,20.0,2.3715,6.6883,0
18096,1.9999,-1.9536,-1.7815,-3.7328,5.0611,-3.0763,37.0,20.0,2.3371,6.7488,0
18308,-2.0,-2.0,0.5549,3.8931,-7.8015,-0.2748,37.0,20.0,2.3071,6.6958,0
18543,-2.0,-2.0,0.5549,3.8931,-7.8015,-0.2748,37.0,20.0,2.3572,6.7338,0
18753,-2.0,-0.5627,-2.0,3.6031,13.5725,9.8473,37.0,20.0,2.4204,6.7132,0
18965,-2.0,-0.668,-0.9109,-5.4427,6.6336,-3.7328,37.0,20.0,2.3265,6.7046,0
19176,-2.0,-0.8064,-0.6033,1.2977,0.5802,2.6183,37.0,20.0,2.451,6.7199,0
19388,-2.0,-0.8064,-0.6033,1.2977,0.5802,2.6183,37.0,20.0,2.3836,6.7434,0
19598,-0.6082,-2.0,1.9999,-4.0305,20.0611,-2.8702,37.0,20.0,2.4611,6.6809,0
19809,1.9999,-1.3967,1.9999,0.2137,11.3969,5.7176,37.0,20.0,2.3017,6.6981,0
20021,-2.0,0.1223,-2.0,-5.145,2.2443,-4.626,37.0,20.0,2.3481,6.7043,0
20232,0.45,-2.0,1.9999,0.2137,20.4198,-0.4351,37.0,20.0,2.452,6.6901,0
20444,0.45,-2.0,1.9999,0.2137,20.4198,-0.4351,37.0,20.0,2.3357,6.7483,0
20678,-2.0,-2.0,0.1777,-0.6565,6.7786,-1.2214,37.0,20.0,2.3964,6.7575,0
20890,1.9999,0.5168,-2.0,-8.084,2.2824,-1.5191,37.0,20.0,2.4226,6.7471,0
21101,1.9999,0.8186,-0.3472,7.6794,-0.626,-4.9924,37.0,20.0,2.4255,6.7374,0
21313,-2.0,-0.4663,1.9999,2.5649,21.374,1.0534,37.0,20.0,2.4521,6.7505,0
21524,-2.0,-0.4663,-2.0,-2.4198,0.7176,6.542,37.0,20.0,2.3388,6.7257,0
21736,-2.0,-0.4663,-2.0,-2.4198,0.7176,6.542,37.0,20.0,2.5222,6.7295,0
21946,-2.0,-1.3064,1.9434,0.3282,-7.8168,3.3588,37.0,20.0,2.4478,6.7645,0
22157,-2.0,-1.3064,1.9434,0.3282,-7.8168,3.3588,37.0,20.0,2.3982,6.7332,0
22368,-2.0,-2.0,-1.0747,-1.8321,-2.4733,-3.4885,37.0,20.0,2.4273,6.6894,0
